:======================================================================:
|     Appendix A List of MS-DRGs Version 42.0     |
:======================================================================:

Appendix A contains a list of each MS-DRG with a specification of the
MDC and whether the MS-DRG is medical or surgical. Some MS-DRGs which
contain patients from multiple MDCs (e.g., 014 Allogeneic Bone Marrow Transplant)
do not have an MDC specified. The letter M is used to designate a medical
MS-DRG and the letter P is used to designate a surgical MS-DRG.

DRG MDC MS Description
001     P  Heart Transplant or Implant of Heart Assist System with MCC
002     P  Heart Transplant or Implant of Heart Assist System without MCC
003     P  ECMO or Tracheostomy with MV >96 Hours or Principal Diagnosis Except Face, Mouth and Neck with Major O.R. Procedures
004     P  Tracheostomy with MV >96 Hours or Principal Diagnosis Except Face, Mouth and Neck without Major O.R. Procedures
005     P  Liver Transplant with MCC or Intestinal Transplant
006     P  Liver Transplant without MCC
007     P  Lung Transplant
008     P  Simultaneous Pancreas and Kidney Transplant
010     P  Pancreas Transplant
011     P  Tracheostomy for Face, Mouth and Neck Diagnoses or Laryngectomy with MCC
012     P  Tracheostomy for Face, Mouth and Neck Diagnoses or Laryngectomy with CC
013     P  Tracheostomy for Face, Mouth and Neck Diagnoses or Laryngectomy without CC/MCC
014     M  Allogeneic Bone Marrow Transplant
016     M  Autologous Bone Marrow Transplant with CC/MCC
017     M  Autologous Bone Marrow Transplant without CC/MCC
018     M  Chimeric Antigen Receptor (CAR) T-Cell and Other Immunotherapies
019     P  Simultaneous Pancreas and Kidney Transplant with Hemodialysis
020 01  P  Intracranial Vascular Procedures with Principal Diagnosis Hemorrhage with MCC
021 01  P  Intracranial Vascular Procedures with Principal Diagnosis Hemorrhage with CC
022 01  P  Intracranial Vascular Procedures with Principal Diagnosis Hemorrhage without CC/MCC
023 01  P  Craniotomy with Major Device Implant or Acute Complex CNS Principal Diagnosis with MCC or Chemotherapy Implant or Epilepsy with Neurostimulator
024 01  P  Craniotomy with Major Device Implant or Acute Complex CNS Principal Diagnosis without MCC
025 01  P  Craniotomy and Endovascular Intracranial Procedures with MCC
026 01  P  Craniotomy and Endovascular Intracranial Procedures with CC
027 01  P  Craniotomy and Endovascular Intracranial Procedures without CC/MCC
028 01  P  Spinal Procedures with MCC
029 01  P  Spinal Procedures with CC or Spinal Neurostimulators
030 01  P  Spinal Procedures without CC/MCC
031 01  P  Ventricular Shunt Procedures with MCC
032 01  P  Ventricular Shunt Procedures with CC
033 01  P  Ventricular Shunt Procedures without CC/MCC
034 01  P  Carotid Artery Stent Procedures with MCC
035 01  P  Carotid Artery Stent Procedures with CC
036 01  P  Carotid Artery Stent Procedures without CC/MCC
037 01  P  Extracranial Procedures with MCC
038 01  P  Extracranial Procedures with CC
039 01  P  Extracranial Procedures without CC/MCC
040 01  P  Peripheral, Cranial Nerve and Other Nervous System Procedures with MCC
041 01  P  Peripheral, Cranial Nerve and Other Nervous System Procedures with CC or Peripheral Neurostimulator
042 01  P  Peripheral, Cranial Nerve and Other Nervous System Procedures without CC/MCC
052 01  M  Spinal Disorders and Injuries with CC/MCC
053 01  M  Spinal Disorders and Injuries without CC/MCC
054 01  M  Nervous System Neoplasms with MCC
055 01  M  Nervous System Neoplasms without MCC
056 01  M  Degenerative Nervous System Disorders with MCC
